Sample_ID	Study	Group
GSM475656	Hou_2010_Netherlands	tumor
GSM475657	Hou_2010_Netherlands	normal
GSM475658	Hou_2010_Netherlands	normal
GSM475659	Hou_2010_Netherlands	normal
GSM475660	Hou_2010_Netherlands	normal
GSM475661	Hou_2010_Netherlands	tumor
GSM475662	Hou_2010_Netherlands	tumor
GSM475663	Hou_2010_Netherlands	normal
GSM475664	Hou_2010_Netherlands	tumor
GSM475665	Hou_2010_Netherlands	normal
GSM475666	Hou_2010_Netherlands	normal
GSM475667	Hou_2010_Netherlands	normal
GSM475668	Hou_2010_Netherlands	tumor
GSM475669	Hou_2010_Netherlands	normal
GSM475670	Hou_2010_Netherlands	tumor
GSM475671	Hou_2010_Netherlands	normal
GSM475672	Hou_2010_Netherlands	tumor
GSM475673	Hou_2010_Netherlands	normal
GSM475674	Hou_2010_Netherlands	tumor
GSM475675	Hou_2010_Netherlands	normal
GSM475676	Hou_2010_Netherlands	tumor
GSM475677	Hou_2010_Netherlands	tumor
GSM475678	Hou_2010_Netherlands	normal
GSM475679	Hou_2010_Netherlands	tumor
GSM475680	Hou_2010_Netherlands	normal
GSM475681	Hou_2010_Netherlands	tumor
GSM475682	Hou_2010_Netherlands	normal
GSM475683	Hou_2010_Netherlands	tumor
GSM475684	Hou_2010_Netherlands	normal
GSM475685	Hou_2010_Netherlands	tumor
GSM475686	Hou_2010_Netherlands	normal
GSM475687	Hou_2010_Netherlands	tumor
GSM475688	Hou_2010_Netherlands	normal
GSM475689	Hou_2010_Netherlands	tumor
GSM475690	Hou_2010_Netherlands	normal
GSM475691	Hou_2010_Netherlands	tumor
GSM475692	Hou_2010_Netherlands	tumor
GSM475693	Hou_2010_Netherlands	normal
GSM475694	Hou_2010_Netherlands	tumor
GSM475695	Hou_2010_Netherlands	normal
GSM475696	Hou_2010_Netherlands	tumor
GSM475697	Hou_2010_Netherlands	normal
GSM475698	Hou_2010_Netherlands	tumor
GSM475699	Hou_2010_Netherlands	normal
GSM475700	Hou_2010_Netherlands	tumor
GSM475701	Hou_2010_Netherlands	tumor
GSM475702	Hou_2010_Netherlands	normal
GSM475703	Hou_2010_Netherlands	tumor
GSM475704	Hou_2010_Netherlands	normal
GSM475705	Hou_2010_Netherlands	normal
GSM475706	Hou_2010_Netherlands	tumor
GSM475707	Hou_2010_Netherlands	normal
GSM475708	Hou_2010_Netherlands	tumor
GSM475709	Hou_2010_Netherlands	tumor
GSM475710	Hou_2010_Netherlands	tumor
GSM475711	Hou_2010_Netherlands	normal
GSM475712	Hou_2010_Netherlands	tumor
GSM475713	Hou_2010_Netherlands	tumor
GSM475714	Hou_2010_Netherlands	normal
GSM475715	Hou_2010_Netherlands	tumor
GSM475716	Hou_2010_Netherlands	normal
GSM475717	Hou_2010_Netherlands	tumor
GSM475718	Hou_2010_Netherlands	normal
GSM475719	Hou_2010_Netherlands	tumor
GSM475720	Hou_2010_Netherlands	tumor
GSM475721	Hou_2010_Netherlands	normal
GSM475722	Hou_2010_Netherlands	tumor
GSM475723	Hou_2010_Netherlands	normal
GSM475724	Hou_2010_Netherlands	tumor
GSM475725	Hou_2010_Netherlands	normal
GSM475726	Hou_2010_Netherlands	normal
GSM475727	Hou_2010_Netherlands	tumor
GSM475728	Hou_2010_Netherlands	tumor
GSM475729	Hou_2010_Netherlands	normal
GSM475730	Hou_2010_Netherlands	tumor
GSM475731	Hou_2010_Netherlands	tumor
GSM475732	Hou_2010_Netherlands	normal
GSM475733	Hou_2010_Netherlands	tumor
GSM475734	Hou_2010_Netherlands	normal
GSM475735	Hou_2010_Netherlands	tumor
GSM475736	Hou_2010_Netherlands	normal
GSM475737	Hou_2010_Netherlands	tumor
GSM475738	Hou_2010_Netherlands	normal
GSM475739	Hou_2010_Netherlands	tumor
GSM475740	Hou_2010_Netherlands	normal
GSM475741	Hou_2010_Netherlands	tumor
GSM475742	Hou_2010_Netherlands	normal
GSM475743	Hou_2010_Netherlands	normal
GSM475744	Hou_2010_Netherlands	tumor
GSM475745	Hou_2010_Netherlands	normal
GSM475746	Hou_2010_Netherlands	normal
GSM475747	Hou_2010_Netherlands	tumor
GSM475748	Hou_2010_Netherlands	tumor
GSM475749	Hou_2010_Netherlands	normal
GSM475750	Hou_2010_Netherlands	normal
GSM475751	Hou_2010_Netherlands	tumor
GSM475752	Hou_2010_Netherlands	normal
GSM475753	Hou_2010_Netherlands	tumor
GSM475754	Hou_2010_Netherlands	normal
GSM475755	Hou_2010_Netherlands	normal
GSM475756	Hou_2010_Netherlands	tumor
GSM475757	Hou_2010_Netherlands	normal
GSM475758	Hou_2010_Netherlands	tumor
GSM475759	Hou_2010_Netherlands	tumor
GSM475760	Hou_2010_Netherlands	tumor
GSM475761	Hou_2010_Netherlands	tumor
GSM475762	Hou_2010_Netherlands	tumor
GSM475763	Hou_2010_Netherlands	tumor
GSM475764	Hou_2010_Netherlands	normal
GSM475765	Hou_2010_Netherlands	tumor
GSM475766	Hou_2010_Netherlands	normal
GSM475767	Hou_2010_Netherlands	normal
GSM475768	Hou_2010_Netherlands	tumor
GSM475769	Hou_2010_Netherlands	tumor
GSM475770	Hou_2010_Netherlands	tumor
GSM475771	Hou_2010_Netherlands	normal
GSM475772	Hou_2010_Netherlands	tumor
GSM475773	Hou_2010_Netherlands	tumor
GSM475774	Hou_2010_Netherlands	tumor
GSM475775	Hou_2010_Netherlands	normal
GSM475776	Hou_2010_Netherlands	tumor
GSM475777	Hou_2010_Netherlands	tumor
GSM475778	Hou_2010_Netherlands	tumor
GSM475779	Hou_2010_Netherlands	tumor
GSM475780	Hou_2010_Netherlands	tumor
GSM475781	Hou_2010_Netherlands	normal
GSM475782	Hou_2010_Netherlands	tumor
GSM475783	Hou_2010_Netherlands	normal
GSM475784	Hou_2010_Netherlands	tumor
GSM475785	Hou_2010_Netherlands	tumor
GSM475786	Hou_2010_Netherlands	normal
GSM475787	Hou_2010_Netherlands	tumor
GSM475788	Hou_2010_Netherlands	tumor
GSM475789	Hou_2010_Netherlands	tumor
GSM475790	Hou_2010_Netherlands	normal
GSM475791	Hou_2010_Netherlands	tumor
GSM475792	Hou_2010_Netherlands	tumor
GSM475793	Hou_2010_Netherlands	tumor
GSM475794	Hou_2010_Netherlands	tumor
GSM475795	Hou_2010_Netherlands	tumor
GSM475796	Hou_2010_Netherlands	tumor
GSM475797	Hou_2010_Netherlands	tumor
GSM475798	Hou_2010_Netherlands	normal
GSM475799	Hou_2010_Netherlands	tumor
GSM475800	Hou_2010_Netherlands	normal
GSM475801	Hou_2010_Netherlands	tumor
GSM475802	Hou_2010_Netherlands	tumor
GSM475803	Hou_2010_Netherlands	tumor
GSM475804	Hou_2010_Netherlands	tumor
GSM475805	Hou_2010_Netherlands	tumor
GSM475806	Hou_2010_Netherlands	tumor
GSM475807	Hou_2010_Netherlands	normal
GSM475808	Hou_2010_Netherlands	tumor
GSM475809	Hou_2010_Netherlands	normal
GSM475810	Hou_2010_Netherlands	tumor
GSM475811	Hou_2010_Netherlands	normal
GSM466947	Sanchez_2011_Spain	tumor
GSM466948	Sanchez_2011_Spain	normal
GSM466949	Sanchez_2011_Spain	tumor
GSM466950	Sanchez_2011_Spain	normal
GSM466951	Sanchez_2011_Spain	tumor
GSM466952	Sanchez_2011_Spain	tumor
GSM466953	Sanchez_2011_Spain	normal
GSM466954	Sanchez_2011_Spain	tumor
GSM466955	Sanchez_2011_Spain	normal
GSM466956	Sanchez_2011_Spain	tumor
GSM466957	Sanchez_2011_Spain	normal
GSM466958	Sanchez_2011_Spain	tumor
GSM466959	Sanchez_2011_Spain	normal
GSM466960	Sanchez_2011_Spain	tumor
GSM466961	Sanchez_2011_Spain	normal
GSM466962	Sanchez_2011_Spain	tumor
GSM466963	Sanchez_2011_Spain	tumor
GSM466964	Sanchez_2011_Spain	normal
GSM466965	Sanchez_2011_Spain	tumor
GSM466966	Sanchez_2011_Spain	normal
GSM466967	Sanchez_2011_Spain	tumor
GSM466968	Sanchez_2011_Spain	normal
GSM466969	Sanchez_2011_Spain	tumor
GSM466970	Sanchez_2011_Spain	normal
GSM466971	Sanchez_2011_Spain	tumor
GSM466972	Sanchez_2011_Spain	normal
GSM466973	Sanchez_2011_Spain	tumor
GSM466974	Sanchez_2011_Spain	normal
GSM466975	Sanchez_2011_Spain	tumor
GSM466976	Sanchez_2011_Spain	normal
GSM466977	Sanchez_2011_Spain	tumor
GSM466978	Sanchez_2011_Spain	normal
GSM466979	Sanchez_2011_Spain	normal
GSM466980	Sanchez_2011_Spain	tumor
GSM466981	Sanchez_2011_Spain	normal
GSM466982	Sanchez_2011_Spain	tumor
GSM466983	Sanchez_2011_Spain	tumor
GSM466984	Sanchez_2011_Spain	normal
GSM466985	Sanchez_2011_Spain	tumor
GSM466986	Sanchez_2011_Spain	normal
GSM466987	Sanchez_2011_Spain	tumor
GSM466988	Sanchez_2011_Spain	normal
GSM466989	Sanchez_2011_Spain	tumor
GSM466990	Sanchez_2011_Spain	normal
GSM466991	Sanchez_2011_Spain	tumor
GSM466992	Sanchez_2011_Spain	normal
GSM466993	Sanchez_2011_Spain	tumor
GSM466994	Sanchez_2011_Spain	tumor
GSM466995	Sanchez_2011_Spain	normal
GSM466996	Sanchez_2011_Spain	tumor
GSM466997	Sanchez_2011_Spain	normal
GSM466998	Sanchez_2011_Spain	tumor
GSM466999	Sanchez_2011_Spain	normal
GSM467000	Sanchez_2011_Spain	normal
GSM467001	Sanchez_2011_Spain	normal
GSM467002	Sanchez_2011_Spain	normal
GSM467003	Sanchez_2011_Spain	normal
GSM467004	Sanchez_2011_Spain	tumor
GSM467005	Sanchez_2011_Spain	normal
GSM467006	Sanchez_2011_Spain	tumor
GSM467007	Sanchez_2011_Spain	normal
GSM467008	Sanchez_2011_Spain	tumor
GSM467009	Sanchez_2011_Spain	normal
GSM467010	Sanchez_2011_Spain	tumor
GSM467011	Sanchez_2011_Spain	normal
GSM467012	Sanchez_2011_Spain	tumor
GSM467013	Sanchez_2011_Spain	normal
GSM467014	Sanchez_2011_Spain	tumor
GSM467015	Sanchez_2011_Spain	normal
GSM467016	Sanchez_2011_Spain	tumor
GSM467017	Sanchez_2011_Spain	normal
GSM467018	Sanchez_2011_Spain	tumor
GSM467019	Sanchez_2011_Spain	normal
GSM467020	Sanchez_2011_Spain	normal
GSM467021	Sanchez_2011_Spain	tumor
GSM467022	Sanchez_2011_Spain	normal
GSM467023	Sanchez_2011_Spain	tumor
GSM467024	Sanchez_2011_Spain	tumor
GSM467025	Sanchez_2011_Spain	normal
GSM467026	Sanchez_2011_Spain	tumor
GSM467027	Sanchez_2011_Spain	normal
GSM467028	Sanchez_2011_Spain	tumor
GSM467029	Sanchez_2011_Spain	tumor
GSM467030	Sanchez_2011_Spain	tumor
GSM467031	Sanchez_2011_Spain	normal
GSM467032	Sanchez_2011_Spain	tumor
GSM467033	Sanchez_2011_Spain	normal
GSM467034	Sanchez_2011_Spain	tumor
GSM467035	Sanchez_2011_Spain	normal
GSM467036	Sanchez_2011_Spain	tumor
GSM467037	Sanchez_2011_Spain	normal
GSM494556	Lu_2010_Taiwan	tumor
GSM494557	Lu_2010_Taiwan	tumor
GSM494558	Lu_2010_Taiwan	tumor
GSM494559	Lu_2010_Taiwan	tumor
GSM494560	Lu_2010_Taiwan	tumor
GSM494561	Lu_2010_Taiwan	tumor
GSM494562	Lu_2010_Taiwan	tumor
GSM494563	Lu_2010_Taiwan	tumor
GSM494564	Lu_2010_Taiwan	tumor
GSM494565	Lu_2010_Taiwan	tumor
GSM494566	Lu_2010_Taiwan	tumor
GSM494567	Lu_2010_Taiwan	tumor
GSM494568	Lu_2010_Taiwan	tumor
GSM494569	Lu_2010_Taiwan	tumor
GSM494570	Lu_2010_Taiwan	tumor
GSM494571	Lu_2010_Taiwan	tumor
GSM494572	Lu_2010_Taiwan	tumor
GSM494573	Lu_2010_Taiwan	tumor
GSM494574	Lu_2010_Taiwan	tumor
GSM494575	Lu_2010_Taiwan	tumor
GSM494576	Lu_2010_Taiwan	tumor
GSM494577	Lu_2010_Taiwan	tumor
GSM494578	Lu_2010_Taiwan	tumor
GSM494579	Lu_2010_Taiwan	tumor
GSM494580	Lu_2010_Taiwan	tumor
GSM494581	Lu_2010_Taiwan	tumor
GSM494582	Lu_2010_Taiwan	tumor
GSM494583	Lu_2010_Taiwan	tumor
GSM494584	Lu_2010_Taiwan	tumor
GSM494585	Lu_2010_Taiwan	tumor
GSM494586	Lu_2010_Taiwan	tumor
